,id,permalink,username,author_id,text,date,formatted_date,to,retweets,favorites,replies,mentions,hashtags,urls,geo
0,1170486546086023168,https://twitter.com/EMA_english/status/1170486546086023168,EMA_english,1065933855192838149,最近色んなビジネスニュース系のポッドキャストでweworkが取り上げられてるけど話に出すぎて広告ではないかと思えてくる,2019-09-07 23:58:33+00:00,Sat Sep 07 23:58:33 +0000 2019,,0,0,0,,,,
1,1170483799139897345,https://twitter.com/jpwarren/status/1170483799139897345,jpwarren,17498659,"Distance to the WeWork, Vasili. One ping only, please. https://twitter.com/stilgherrian/status/1170350554620391424 …",2019-09-07 23:47:38+00:00,Sat Sep 07 23:47:38 +0000 2019,stilgherrian,1,5,5,,,https://twitter.com/stilgherrian/status/1170350554620391424,
2,1170483771302453249,https://twitter.com/BradGudger/status/1170483771302453249,BradGudger,162792799,WOOO!,2019-09-07 23:47:32+00:00,Sat Sep 07 23:47:32 +0000 2019,_sophiegreig,0,0,0,,,,
3,1170483626661859328,https://twitter.com/haditaheri/status/1170483626661859328,haditaheri,233067223,London-based IWG Market cap: only £3.7bn but with more sites than WeWork.,2019-09-07 23:46:57+00:00,Sat Sep 07 23:46:57 +0000 2019,,0,0,0,,,,
4,1170483623964925953,https://twitter.com/haditaheri/status/1170483623964925953,haditaheri,233067223,WeWork IPO IPO Valuation: $20bn down from $47bn Previous round: $47bn in name but effectively $20bn Revenue: $1.54bn in H1 2019 vs $764mn in H1 2018. Losses: $904mn in H1 ‘19 vs $723mn in H1 ‘18 Implied P/S = $20bn / $3.08bn = 6.5 Largest rival: London-based IWG.,2019-09-07 23:46:57+00:00,Sat Sep 07 23:46:57 +0000 2019,,0,1,1,,,,
5,1170483329017274368,https://twitter.com/petition/status/1170483329017274368,petition,2838282760,"@benthompson breaking down why @WeWork is not a ""tech company."" https://stratechery.com/2019/what-is-a-tech-company/ …pic.twitter.com/CLMOVC1nFv",2019-09-07 23:45:46+00:00,Sat Sep 07 23:45:46 +0000 2019,,0,0,0,@benthompson @WeWork,,https://stratechery.com/2019/what-is-a-tech-company/,
6,1170481717238325248,https://twitter.com/sandeshr/status/1170481717238325248,sandeshr,11594432,WeWork to press on with IPO launch despite valuation concerns https://www.reuters.com/article/us-wework-ipo-exclusive/exclusive-wework-to-press-on-with-ipo-launch-despite-valuation-concerns-sources-idUSKCN1VR2L6 …,2019-09-07 23:39:22+00:00,Sat Sep 07 23:39:22 +0000 2019,,0,1,1,,,https://www.reuters.com/article/us-wework-ipo-exclusive/exclusive-wework-to-press-on-with-ipo-launch-despite-valuation-concerns-sources-idUSKCN1VR2L6,
7,1170481285275496449,https://twitter.com/sfastlicht/status/1170481285275496449,sfastlicht,104700877,WeWork might be worth just half of its former $47 billion valuation - Vox https://www.vox.com/2019/9/5/20851255/wework-valuation-cut-ipo-delay …,2019-09-07 23:37:39+00:00,Sat Sep 07 23:37:39 +0000 2019,,0,0,0,,,https://www.vox.com/2019/9/5/20851255/wework-valuation-cut-ipo-delay,
8,1170481086331146240,https://twitter.com/watarukino/status/1170481086331146240,watarukino,981576434324926464,GAFAの巨大さに対する反発と、ビッグになった新興企業の曲がり角 / 【1週間要約】GAFAの制裁。WeWorkとUberを襲う「暗雲」 #NewsPickshttps://npx.me/o456/141zV?from=twitter …,2019-09-07 23:36:52+00:00,Sat Sep 07 23:36:52 +0000 2019,,0,0,0,,#NewsPickshttps,https://npx.me/o456/141zV?from=twitter,
9,1170480961563373569,https://twitter.com/VIXC_News/status/1170480961563373569,VIXC_News,911339992194134016,"Uber, WeWork, and Slack public valuations show SoftBank vision flaw - https://is.gd/5I0VCO #VIXC #LatestComments",2019-09-07 23:36:22+00:00,Sat Sep 07 23:36:22 +0000 2019,,0,0,0,,#VIXC #LatestComments,https://is.gd/5I0VCO,
10,1170480954827100162,https://twitter.com/iptops_com_news/status/1170480954827100162,iptops_com_news,777036557823815681,【知財関連ニュース】WeWorkのIPOが危ういたった一つの理由[特許][知的財産] [知財ニュース][知財フィルター] https://iptops.com/news/323209,2019-09-07 23:36:20+00:00,Sat Sep 07 23:36:20 +0000 2019,,0,0,0,,,https://iptops.com/news/323209,
11,1170480735192518656,https://twitter.com/Enrique19667/status/1170480735192518656,Enrique19667,71099385,Reforma desde el WeWork,2019-09-07 23:35:28+00:00,Sat Sep 07 23:35:28 +0000 2019,EdberdMolina,0,1,1,,,,
12,1170480632490811392,https://twitter.com/MoniqMills/status/1170480632490811392,MoniqMills,2886509621,WeWork filed its S-1 earlier this month. I don't see the novelty in the business model here and I still think it's overvalued. #wework #iposhttps://lnkd.in/eMY4cHD,2019-09-07 23:35:03+00:00,Sat Sep 07 23:35:03 +0000 2019,,0,4,4,,#wework #iposhttps,https://lnkd.in/eMY4cHD,
13,1170480130134663168,https://twitter.com/Indievisible1/status/1170480130134663168,Indievisible1,239052909,Blog Post: DealBook Briefing: Why WeWork’s I.P.O. Struggles Could Hurt http://dlvr.it/RCgW7J,2019-09-07 23:33:04+00:00,Sat Sep 07 23:33:04 +0000 2019,,0,0,0,,,http://dlvr.it/RCgW7J,
14,1170480128947679232,https://twitter.com/SirChangAlot/status/1170480128947679232,SirChangAlot,535078731,DealBook Briefing: Why WeWork’s I.P.O. Struggles Could Hurt http://dlvr.it/RCgW70,2019-09-07 23:33:03+00:00,Sat Sep 07 23:33:03 +0000 2019,,0,0,0,,,http://dlvr.it/RCgW70,
15,1170479358869479424,https://twitter.com/FrankBullitt39/status/1170479358869479424,FrankBullitt39,545088857,Roll up roll up another overvalued crash & burn IPO underway #WeWork #uberIPO #Lyfthttps://www.bloomberg.com/news/videos/2019-09-05/wework-isn-t-worth-anywhere-near-20-billion-nyu-s-galloway-says-video …,2019-09-07 23:30:00+00:00,Sat Sep 07 23:30:00 +0000 2019,,0,0,0,,#WeWork #uberIPO #Lyfthttps,https://www.bloomberg.com/news/videos/2019-09-05/wework-isn-t-worth-anywhere-near-20-billion-nyu-s-galloway-says-video,
16,1170478753467772928,https://twitter.com/business/status/1170478753467772928,business,34713362,WeWork goes from hot to not https://bloom.bg/2LE1H3U,2019-09-07 23:27:35+00:00,Sat Sep 07 23:27:35 +0000 2019,,21,36,36,,,https://bloom.bg/2LE1H3U,
17,1170478525712863233,https://twitter.com/AqBenjamin/status/1170478525712863233,AqBenjamin,508687261,"Das mit der Moral und Glaubwürdigkeit würde ich unterschrieben, aber ehrlich gesagt leider für die Mehrheit unserer Gesellschaft. Das ist kein Phänomen der Banken allein oder glaubt jemand wirklich das Uber, WeWork & Co anders Business betreiben?",2019-09-07 23:26:41+00:00,Sat Sep 07 23:26:41 +0000 2019,Olivvveer,0,2,2,,,,
18,1170478165984256001,https://twitter.com/tickerguy/status/1170478165984256001,tickerguy,16456226,BTW one of the MAJOR reasons my company was successful was we took advantage of a dislocation in CRE for our office. WeWork will DIE INSTANTLY when that dislocation happens. The owner of the CRE when we took advantage of it was just fine -- in fact we helped them.,2019-09-07 23:25:15+00:00,Sat Sep 07 23:25:15 +0000 2019,profgalloway,0,0,0,,,,
19,1170478044248776704,https://twitter.com/coworking__news/status/1170478044248776704,coworking__news,937678428614156288,What's Going On With The WeWork IPO? - Grit Daily https://gritdaily.com/wework-ipo-delay/ … #coworkingpic.twitter.com/KHY1LjZb5K,2019-09-07 23:24:46+00:00,Sat Sep 07 23:24:46 +0000 2019,,1,3,3,,#coworkingpic,https://gritdaily.com/wework-ipo-delay/,
20,1170477754988544001,https://twitter.com/tickerguy/status/1170477754988544001,tickerguy,16456226,"WeWork is a flat-out scam. Obligation is long-term at above-market rates predicated on short-term fill at above-market rates. Problem is that the short-term fill is all ""demand in excess of supply"", and when recession happens it DISAPPEARS. Boom!",2019-09-07 23:23:37+00:00,Sat Sep 07 23:23:37 +0000 2019,profgalloway,0,1,1,,,,
21,1170477045127811072,https://twitter.com/cmencke/status/1170477045127811072,cmencke,25406480,OscarNet: WeWork to press on with IPO launch despite valuati... https://oscarnetbiz.blogspot.com/2019/09/wework-to-press-on-with-ipo-launch.html?spref=tw …,2019-09-07 23:20:48+00:00,Sat Sep 07 23:20:48 +0000 2019,,1,0,0,,,https://oscarnetbiz.blogspot.com/2019/09/wework-to-press-on-with-ipo-launch.html?spref=tw,
